ID,Priority,Category,Item,Description,Owner,Effort,Status,% Complete,Target Date,Notes / Blockers
CRIT-01,🔴 CRITICAL,Security,Penetration test,"Hire CREST/CHECK-certified pen tester to test auth bypass, IDOR, SQL injection, XSS, API rate limiting, health data leakage",,1-2 weeks,Not Started,0,,Budget ~£3-5k
CRIT-02,🔴 CRITICAL,Legal / GDPR,Data Protection Impact Assessment (DPIA),"Required under UK GDPR Article 35 for processing special category health data at scale. Must cover lawful basis, data minimisation, retention, international transfers, AI automated decision-making",,1 week,Not Started,0,,
CRIT-03,🔴 CRITICAL,QA,Run full QA test pack,"Execute all 381 test cases in docs/MeticleCare_QA_UAT_Test_Pack.xlsx. Fill in Pass/Fail and Comments. Return for bug fixes",,3-5 days,Not Started,0,,
CRIT-04,🔴 CRITICAL,Security,SSL certificates verified,"Verify production has valid SSL certs with auto-renewal configured. Test HTTPS on all endpoints",,1 hour,Not Started,0,,
CRIT-05,🔴 CRITICAL,Data,Backup & recovery testing,"Perform test database restore from backup. Verify data integrity. Document RTO/RPO. Test point-in-time recovery",,1 day,Not Started,0,,
CRIT-06,🔴 CRITICAL,Infrastructure,Database connection pooling verified,"Verify PgBouncer or equivalent is configured. Test connection pool exhaustion under load. Set up connection pool monitoring",,Half day,Not Started,0,,
CRIT-07,🔴 CRITICAL,Legal / GDPR,DPIA reviewed by DPO or legal counsel,"The DPIA document must be reviewed and signed off by a qualified Data Protection Officer or solicitor before launch",,1-2 days,Not Started,0,,
HIGH-01,🟠 HIGH,Legal / GDPR,ICO registration,"Register as data controller with ICO (ico.org.uk). Required if processing personal data. Currently £40-60/year for small orgs",,1 hour,Not Started,0,,
HIGH-02,🟠 HIGH,Monitoring,Uptime monitoring & alerting,"Set up uptime monitoring (UptimeRobot, Betterstack, or similar). Configure alerts for API downtime, high error rates, database issues, disk space",,2-3 hours,Not Started,0,,
HIGH-03,🟠 HIGH,Legal,Solicitor review — Terms of Use,"Have a solicitor review Terms of Use for enforceability, limitation of liability, indemnification clauses specific to health/social care software",,1-2 weeks,Not Started,0,,
HIGH-04,🟠 HIGH,Legal,Solicitor review — Privacy Policy,"Review Privacy Policy for UK GDPR compliance. Ensure lawful basis for processing health data is clearly documented. Verify data subject rights are covered",,1-2 weeks,Not Started,0,,
HIGH-05,🟠 HIGH,Legal,Create standalone DPA document,"The Terms of Use references a Data Processing Agreement. Create a standalone DPA for care homes signing up as data controllers",,3-5 days,Not Started,0,,
HIGH-06,🟠 HIGH,Legal,Cookie policy accuracy review,"Verify Cookie Policy accurately reflects all cookies used. Update if any analytics or tracking is added post-launch",,2 hours,Not Started,0,,
HIGH-07,🟠 HIGH,Insurance,Professional indemnity insurance,"Obtain PI insurance covering software defects that could cause harm in a care setting. Also consider cyber liability insurance for data breach",,1 week,Not Started,0,,
HIGH-08,🟠 HIGH,Infrastructure,Redis configured for Socket.IO,"Verify Redis adapter is configured for horizontal scaling of real-time features (chat, notifications, mission control). Test with multiple API instances",,Half day,Not Started,0,,
HIGH-09,🟠 HIGH,Security,API key rotation policy,"Implement or document a policy for rotating API keys (OpenAI, Anthropic, Stripe). Set calendar reminders for quarterly rotation",,2 hours,Not Started,0,,
HIGH-10,🟠 HIGH,Security,Rate limiting verified in production,"Verify rate limits are applied to all public-facing endpoints. Test with concurrent requests to confirm 429 responses",,2 hours,Not Started,0,,
MED-01,🟡 MEDIUM,Compliance,CQC registration guidance,"Clarify whether MeticleCare needs CQC registration (only if providing care directly) or if it is purely software for care providers",,Research,Not Started,0,,
MED-02,🟡 MEDIUM,Operations,Incident response plan,"Document what happens when: data breach occurs, system goes down, safeguarding concern arises. Who to call, what to do, comms templates",,2-3 days,Not Started,0,,
MED-03,🟡 MEDIUM,Operations,Staff onboarding documentation,"Create internal docs for any team members who will support the platform: how to access logs, how to reset users, how to check billing",,1-2 days,Not Started,0,,
MED-04,🟡 MEDIUM,Infrastructure,Production environment audit,"Review docker-compose.prod.yml, verify all services have health checks, proper resource limits, log rotation, and restart policies",,Half day,Not Started,0,,
MED-05,🟡 MEDIUM,Data,Data retention policy implementation,"Ensure the app enforces data retention periods. Health data retention per NHS records management code of practice. Implement auto-deletion or archival",,2-3 days,Not Started,0,,
MED-06,🟡 MEDIUM,AI,AI content labelling audit,"Verify all AI-generated outputs (daily notes, meal plans, incident triage, compliance analysis) are clearly labelled as AI-generated in the UI and database",,1 day,Not Started,0,,
MED-07,🟡 MEDIUM,Operations,Disaster recovery runbook,"Document step-by-step recovery procedures: database restore, service restart, DNS failover, data integrity checks. Test the runbook",,1-2 days,Not Started,0,,
MED-08,🟡 MEDIUM,Accessibility,WCAG 2.1 AA compliance audit,"Run axe-core or similar against key pages. Fix critical violations (missing alt text, colour contrast, keyboard navigation, screen reader support)",,2-3 days,Not Started,0,,
LOW-01,🟢 LOW,Performance,Load testing,"Run k6 or Artillery against the API. Simulate 50, 100, 200 concurrent users. Measure response times, error rates, and resource usage",,1-2 days,Not Started,0,,
LOW-02,🟢 LOW,Infrastructure,Domain & DNS setup,"Finalise production domain. Configure DNS records. Set up email sending (SPF/DKIM/DMARC for transactional emails)",,2-3 hours,Not Started,0,,
LOW-03,🟢 LOW,Operations,Customer support process,"Define how support tickets are handled: email, chat, phone. Who responds. SLA targets. Escalation path for urgent issues",,Half day,Not Started,0,,
LOW-04,🟢 LOW,Compliance,CQC evidence pack auto-generation test,"Verify evidence packs generate correctly with real data. Test all CQC domains (Safe, Effective, Caring, Responsive, Well-led)",,Half day,Not Started,0,,
